candidate,family,parameters,mean_balanced_accuracy,std_balanced_accuracy,mean_brier
gradient_boost,gradient_boost,"{""model__max_depth"": 1}",0.5244834055156513,0.02916275771319068,0.2521348853281605
logistic_full,logistic,"{""model__C"": 1.0}",0.5185692159009645,0.010620798836247542,0.25874261416545785
knn,knn,"{""model__n_neighbors"": 25}",0.5167528353689564,0.03344544393823057,0.25401716720394174
naive_bayes,naive_bayes,"{""model__var_smoothing"": 0.01}",0.5000297853124546,0.02717104115093611,0.278110340712492
prior_baseline,dummy,{},0.5,0.0,0.24961966246142095
logistic_compact,logistic,"{""model__C"": 1.0}",0.4947620705680864,0.02546095415261671,0.2521035150060509
hist_boost,hist_boost,"{""model__max_leaf_nodes"": 15}",0.49461135059323813,0.009240028700881045,0.28196987996749895
logistic_top8,logistic,"{""model__C"": 0.1}",0.4879652617321271,0.023309061912632337,0.25888213182468445
extra_trees,extra,"{""model__max_depth"": 6}",0.48644231415325767,0.02036620375504591,0.25199633183674297
random_forest,forest,"{""model__max_depth"": 3}",0.4818675018806999,0.009423235754527325,0.2538014016552362
